what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376593652219
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376593670387
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376593680202
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376593681260
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376593686982
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376593689717
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376593726132
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376593726772
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376593943045
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1376594004676
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1376594008594
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.copy",1376594045350
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1376594046939
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1376594061488
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1376594063321
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376594084605
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594094311
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594094481
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376594110383
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594112482
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594123311
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.delete",1376594138805
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376594140652
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376594154723
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594156706
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594169489
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.cut",1376594190312
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.edit.paste",1376594191342
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.save",1376594210224
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594212605
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594267673
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376594329010
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376595707850
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376595708247
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376595902395
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376598512290
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376598930017
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376599432847
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376600299044
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376600301714
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376600337520
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376600338492
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376600364827
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376601311041
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376601318699
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376601319961
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376602169383
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1376602173391
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376602179792
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376615932526
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376615934636
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376615937314
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376615939308
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1376615939587
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376615946702
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376615965491
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376615973709
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376616174887
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621415633
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621431405
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621454582
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621458849
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621491581
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621496768
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621806858
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376621818776
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376633260652
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376633272354
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376633510788
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1376633516840
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376633538526
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376633538774
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1376633561555
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376633562875
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1376633563106
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376633768064
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1376666250101
